Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
Connecticut Sun,28,25,11,29,7,8.03,-0.8,7.23,108.5,98.3,10.2,78.5,0.288,0.261,0.552,0.508,15.6,31.6,0.227,0.494,17.6,79.5,0.197
Las Vegas Aces,26.9,26,10,26,10,6.36,-0.59,5.78,111.9,104,7.9,80.6,0.282,0.376,0.573,0.528,12.3,19.9,0.232,0.502,13.9,77.6,0.185
Chicago Sky,30,26,10,25,11,5,-0.15,4.85,107.7,101.5,6.2,79.2,0.245,0.309,0.574,0.535,15.5,22.7,0.202,0.483,14.4,76.2,0.176
Washington Mystics,28,22,14,25,11,4.36,-0.55,3.82,103.5,97.8,5.7,76.7,0.268,0.337,0.538,0.496,14.6,23.3,0.21,0.485,16.2,80.1,0.195
Seattle Storm,29.7,22,14,24,12,4.11,-0.2,3.91,104.9,99.7,5.2,78.3,0.219,0.372,0.547,0.509,14.5,21.8,0.18,0.485,16.1,75,0.172
Dallas Wings,25.4,18,18,18,18,0.19,-0.16,0.04,106.6,106.3,0.3,77.6,0.304,0.331,0.536,0.492,14.1,27.6,0.232,0.514,15.2,75.9,0.224
Minnesota Lynx,28.5,14,22,16,20,-1.47,0.29,-1.19,104.4,106.3,-1.9,78.4,0.29,0.293,0.545,0.501,16.1,26.7,0.227,0.503,12.9,78,0.199
New York Liberty,26.9,16,20,14,22,-2.39,0.42,-1.97,101.1,104.1,-3,77.9,0.225,0.414,0.543,0.504,16.6,20.7,0.185,0.469,13,75.4,0.247
Atlanta Dream,26.2,14,22,13,23,-3,0.02,-2.98,98.1,101.8,-3.7,79.5,0.253,0.313,0.516,0.475,16.7,24.5,0.197,0.494,15.7,78.5,0.24
Phoenix Mercury,29.9,15,21,14,22,-3,0.04,-2.97,102.6,106.4,-3.8,78.2,0.28,0.401,0.543,0.495,15.1,19.9,0.229,0.501,15.5,71.5,0.222
Los Angeles Sparks,27.2,13,23,8,28,-7.11,0.62,-6.49,99.6,108.6,-9,79.5,0.273,0.253,0.53,0.487,15.6,20.6,0.215,0.532,17.1,73.5,0.244
Indiana Fever,25.4,5,31,5,31,-11.08,1.06,-10.02,96.6,110.3,-13.7,80.2,0.279,0.29,0.5,0.458,16.3,26.6,0.208,0.526,15.5,72.7,0.248
League Average,27.7,,,18,18,0,0,0,103.8,103.8,,78.7,0.267,0.329,0.541,0.499,15.3,23.8,0.212,0.499,15.3,76.2,0.212
